Income,MntMeatProducts,cluster
58138.0,546.0,1
46344.0,6.0,1
71613.0,127.0,2
26646.0,20.0,3
58293.0,118.0,1
62513.0,98.0,1
55635.0,164.0,1
33454.0,56.0,3
30351.0,24.0,3
5648.0,6.0,3
52247.25135379061,6.0,1
7500.0,11.0,3
63033.0,480.0,1
59354.0,53.0,1
17323.0,17.0,3
82800.0,115.0,2
41850.0,19.0,1
37760.0,38.0,3
76995.0,498.0,2
33812.0,19.0,3
37040.0,73.0,3
2447.0,556.0,3
58607.0,86.0,1
65324.0,102.0,2
40689.0,27.0,1
18589.0,25.0,3
53359.0,30.0,1
52247.25135379061,3.0,1
38360.0,42.0,3
84618.0,556.0,2
10979.0,10.0,3
38620.0,44.0,3
40548.0,5.0,1
46610.0,96.0,1
68657.0,471.0,2
49389.0,19.0,1
67353.0,151.0,2
23718.0,14.0,3
42429.0,6.0,1
48948.0,206.0,1
80011.0,536.0,2
20559.0,29.0,3
21994.0,6.0,3
52247.25135379061,50.0,1
7500.0,10.0,3
79941.0,266.0,2
7500.0,14.0,3
41728.0,15.0,1
52247.25135379061,48.0,1
72550.0,317.0,2
65486.0,125.0,2
79143.0,556.0,2
35790.0,20.0,3
82582.0,550.0,2
66373.0,124.0,2
82384.0,432.0,2
70287.0,482.0,2
27938.0,8.0,3
52247.25135379061,22.0,1
55954.0,28.0,1
75777.0,538.0,2
66653.0,102.0,2
61823.0,134.0,1
67680.0,48.0,2
70666.0,367.0,2
25721.0,6.0,3
32474.0,1.0,3
88194.0,309.0,2
69096.0,159.0,2
74854.0,487.0,2
66991.0,460.0,2
52247.25135379061,43.0,1
65031.0,291.0,2
60631.0,65.0,1
28332.0,13.0,3
40246.0,6.0,1
75251.0,556.0,2
75825.0,556.0,2
26326.0,5.0,3
56046.0,64.0,1
29760.0,68.0,3
26304.0,5.0,3
23559.0,19.0,3
38620.0,44.0,3
81361.0,424.0,2
29440.0,14.0,3
36138.0,16.0,3
50388.0,37.0,1
79593.0,556.0,2
54178.0,39.0,1
52247.25135379061,192.0,1
52247.25135379061,8.0,1
52247.25135379061,359.0,1
42394.0,10.0,1
23626.0,14.0,3
30096.0,11.0,3
47916.0,26.0,1
51813.0,7.0,1
78497.0,447.0,2
50150.0,92.0,1
47823.0,5.0,1
34554.0,6.0,3
85693.0,183.0,2
65846.0,276.0,2
87195.0,556.0,2
24594.0,6.0,3
49096.0,32.0,1
52413.0,271.0,1
38557.0,31.0,3
89058.0,106.0,2
77298.0,292.0,2
68126.0,311.0,2
57288.0,21.0,1
86037.0,125.0,2
43974.0,101.0,1
50785.0,21.0,1
90765.0,556.0,2
36550.0,94.0,3
30753.0,25.0,3
21918.0,7.0,3
56129.0,133.0,1
32557.0,29.0,3
19510.0,7.0,3
30992.0,14.0,3
101970.0,102.0,2
71488.0,124.0,2
79607.0,556.0,2
54348.0,16.0,1
52247.25135379061,27.0,1
77376.0,110.0,2
62998.0,73.0,1
61331.0,47.0,1
73448.0,189.0,2
52247.25135379061,196.0,1
41551.0,33.0,1
62981.0,556.0,1
9548.0,3.0,3
33762.0,34.0,3
35860.0,8.0,3
36921.0,12.0,3
92859.0,556.0,2
65104.0,232.0,2
86111.0,556.0,2
68352.0,132.0,2
41883.0,41.0,1
59809.0,141.0,1
23957.0,18.0,3
38547.0,10.0,3
35688.0,90.0,3
49605.0,29.0,1
59354.0,78.0,1
65747.0,48.0,2
46344.0,57.0,1
34176.0,24.0,3
61010.0,57.0,1
69372.0,269.0,2
49967.0,69.0,1
60199.0,7.0,1
55375.0,57.0,1
80317.0,387.0,2
30523.0,3.0,3
70356.0,249.0,2
23228.0,49.0,3
74165.0,240.0,2
117416.25,556.0,2
43482.0,32.0,1
62551.0,98.0,1
52332.0,33.0,1
66951.0,305.0,2
26091.0,19.0,3
33456.0,10.0,3
28718.0,6.0,3
50447.0,24.0,1
53537.0,6.0,1
52074.0,12.0,1
80427.0,449.0,2
83837.0,119.0,2
38853.0,14.0,3
38285.0,5.0,3
78497.0,447.0,2
51650.0,22.0,1
16248.0,10.0,3
66835.0,195.0,2
30477.0,6.0,3
28249.0,7.0,3
25271.0,18.0,3
32303.0,2.0,3
61286.0,107.0,1
74068.0,537.0,2
45759.0,18.0,1
24882.0,10.0,3
66973.0,432.0,2
36640.0,8.0,3
38872.0,21.0,3
51148.0,45.0,1
31353.0,10.0,3
69661.0,106.0,2
80067.0,556.0,2
86718.0,482.0,2
46854.0,79.0,1
69142.0,34.0,2
75922.0,553.0,2
63693.0,337.0,1
102160.0,138.0,2
40637.0,13.0,1
18890.0,1.0,3
29604.0,13.0,3
48721.0,113.0,1
44794.0,7.0,1
64497.0,320.0,2
46097.0,68.0,1
77972.0,319.0,2
44377.0,30.0,1
46014.0,59.0,1
70951.0,554.0,2
41443.0,171.0,1
52195.0,4.0,1
83790.0,417.0,2
44551.0,33.0,1
69508.0,162.0,2
45204.0,25.0,1
72460.0,540.0,2
77622.0,154.0,2
30732.0,25.0,3
63887.0,207.0,2
42011.0,16.0,1
51369.0,79.0,1
51537.0,204.0,1
79930.0,556.0,2
34320.0,9.0,3
37070.0,137.0,3
81975.0,184.0,2
38590.0,8.0,3
15033.0,5.0,3
62745.0,464.0,1
22212.0,20.0,3
23661.0,4.0,3
79761.0,124.0,2
7500.0,10.0,3
60182.0,5.0,1
73455.0,556.0,2
64961.0,276.0,2
22804.0,7.0,3
73687.0,503.0,2
61074.0,133.0,1
31686.0,5.0,3
80134.0,272.0,2
75027.0,179.0,2
67546.0,556.0,2
65176.0,183.0,2
31160.0,25.0,3
29938.0,7.0,3
102692.0,444.0,2
26490.0,52.0,3
75702.0,353.0,2
30899.0,8.0,3
63342.0,118.0,1
45989.0,87.0,1
18701.0,2.0,3
40737.0,4.0,1
15287.0,8.0,3
69674.0,215.0,2
44159.0,62.0,1
37717.0,6.0,3
43776.0,71.0,1
38179.0,22.0,3
80124.0,398.0,2
38097.0,35.0,3
72940.0,298.0,2
22070.0,19.0,3
69267.0,499.0,2
31788.0,23.0,3
61905.0,43.0,1
29315.0,14.0,3
33378.0,40.0,3
66313.0,99.0,2
60714.0,224.0,1
77882.0,396.0,2
69867.0,512.0,2
63841.0,100.0,1
24480.0,9.0,3
51369.0,79.0,1
37760.0,38.0,3
65640.0,149.0,2
44319.0,8.0,1
30631.0,20.0,3
75278.0,230.0,2
50898.0,242.0,1
79946.0,556.0,2
35416.0,81.0,3
32414.0,5.0,3
38361.0,56.0,3
82497.0,556.0,2
16626.0,22.0,3
29672.0,3.0,3
55951.0,80.0,1
35388.0,7.0,3
42386.0,16.0,1
68627.0,263.0,2
57912.0,80.0,1
35246.0,12.0,3
58821.0,154.0,1
46377.0,46.0,1
39747.0,93.0,3
23976.0,21.0,3
80950.0,112.0,2
27038.0,25.0,3
77457.0,400.0,2
64100.0,27.0,2
42670.0,46.0,1
12571.0,14.0,3
22574.0,8.0,3
52247.25135379061,461.0,1
70893.0,556.0,2
54198.0,28.0,1
28839.0,7.0,3
40321.0,21.0,1
66503.0,128.0,2
30833.0,7.0,3
52247.25135379061,172.0,1
64795.0,119.0,2
34421.0,7.0,3
47025.0,3.0,1
64325.0,353.0,2
40464.0,118.0,1
62187.0,275.0,1
14849.0,28.0,3
27255.0,11.0,3
54432.0,5.0,1
29999.0,59.0,3
24072.0,6.0,3
33996.0,15.0,3
66334.0,218.0,2
35178.0,13.0,3
22010.0,9.0,3
62204.0,247.0,1
75693.0,293.0,2
30675.0,16.0,3
83003.0,556.0,2
83532.0,556.0,2
68655.0,556.0,2
41411.0,38.0,1
55212.0,45.0,1
59292.0,68.0,1
27190.0,7.0,3
82623.0,204.0,2
44300.0,9.0,1
84835.0,379.0,2
30372.0,12.0,3
33181.0,3.0,3
71113.0,255.0,2
71952.0,455.0,2
69759.0,514.0,2
72099.0,410.0,2
60000.0,217.0,1
38643.0,14.0,3
50737.0,11.0,1
68462.0,556.0,2
65073.0,177.0,2
46681.0,69.0,1
78618.0,556.0,2
62187.0,83.0,1
28442.0,10.0,3
37717.0,6.0,3
51479.0,160.0,1
54803.0,92.0,1
79530.0,556.0,2
31615.0,20.0,3
72025.0,549.0,2
52614.0,142.0,1
35684.0,7.0,3
48178.0,45.0,1
29548.0,6.0,3
63810.0,253.0,1
38578.0,22.0,3
46098.0,27.0,1
22585.0,15.0,3
30279.0,14.0,3
66426.0,97.0,2
30822.0,13.0,3
33581.0,5.0,3
19986.0,5.0,3
27421.0,96.0,3
35688.0,90.0,3
36143.0,1.0,3
10245.0,7.0,3
43795.0,53.0,1
63381.0,142.0,1
38823.0,11.0,3
83664.0,151.0,2
90300.0,556.0,2
62499.0,61.0,1
74293.0,335.0,2
51012.0,63.0,1
70777.0,113.0,2
68682.0,505.0,2
43824.0,42.0,1
15345.0,16.0,3
23442.0,6.0,3
14515.0,9.0,3
31395.0,25.0,3
75276.0,125.0,2
42373.0,61.0,1
30507.0,74.0,3
55521.0,26.0,1
48006.0,11.0,1
27213.0,26.0,3
65808.0,80.0,2
30351.0,24.0,3
50437.0,92.0,1
23616.0,11.0,3
53858.0,221.0,1
66465.0,204.0,2
46923.0,54.0,1
75072.0,309.0,2
75865.0,556.0,2
19789.0,9.0,3
80134.0,282.0,2
91065.0,108.0,2
49505.0,100.0,1
37401.0,19.0,3
30096.0,11.0,3
18492.0,2.0,3
82584.0,103.0,2
93027.0,556.0,2
48686.0,7.0,1
92910.0,556.0,2
75433.0,297.0,2
10404.0,11.0,3
61314.0,189.0,1
84865.0,349.0,2
42387.0,235.0,1
67309.0,181.0,2
75236.0,400.0,2
30015.0,22.0,3
50943.0,7.0,1
67272.0,271.0,2
51529.0,35.0,1
32011.0,15.0,3
7500.0,5.0,3
28691.0,13.0,3
56223.0,31.0,1
18100.0,2.0,3
30279.0,14.0,3
20130.0,3.0,3
23295.0,1.0,3
42618.0,74.0,1
81246.0,537.0,2
24027.0,11.0,3
55707.0,82.0,1
57959.0,322.0,1
56796.0,161.0,1
36230.0,30.0,3
70829.0,106.0,2
65991.0,364.0,2
38988.0,103.0,3
89572.0,556.0,2
42207.0,72.0,1
50300.0,60.0,1
66664.0,447.0,2
60597.0,257.0,1
70165.0,253.0,2
50520.0,6.0,1
80124.0,398.0,2
33183.0,39.0,3
66582.0,420.0,2
75261.0,413.0,2
31880.0,5.0,3
53790.0,127.0,1
49269.0,166.0,1
61456.0,384.0,1
37406.0,8.0,3
56937.0,125.0,1
38415.0,13.0,3
20518.0,6.0,3
62503.0,193.0,1
41644.0,4.0,1
55842.0,39.0,1
62010.0,39.0,1
41124.0,84.0,1
38961.0,19.0,3
37760.0,13.0,3
32233.0,35.0,3
43057.0,44.0,1
83151.0,100.0,2
78825.0,114.0,2
65104.0,232.0,2
60093.0,109.0,1
14045.0,5.0,3
28457.0,108.0,3
78952.0,556.0,2
46310.0,88.0,1
76005.0,389.0,2
58308.0,69.0,1
55614.0,131.0,1
59432.0,265.0,1
55563.0,9.0,1
78642.0,322.0,2
67911.0,356.0,2
65275.0,218.0,2
27203.0,21.0,3
48330.0,4.0,1
24279.0,21.0,3
64355.0,140.0,2
50943.0,7.0,1
53653.0,239.0,1
65665.0,387.0,2
81217.0,324.0,2
34935.0,66.0,3
61250.0,65.0,1
39665.0,56.0,3
60152.0,300.0,1
48920.0,68.0,1
89120.0,408.0,2
44124.0,55.0,1
81169.0,556.0,2
36443.0,46.0,3
26095.0,9.0,3
71367.0,389.0,2
80184.0,556.0,2
30630.0,12.0,3
73454.0,351.0,2
42691.0,64.0,1
70503.0,216.0,2
25545.0,64.0,3
32880.0,15.0,3
77863.0,319.0,2
50353.0,153.0,1
61839.0,379.0,1
49154.0,67.0,1
47682.0,83.0,1
72679.0,260.0,2
57954.0,24.0,1
65316.0,92.0,2
28567.0,22.0,3
47352.0,112.0,1
44931.0,11.0,1
76982.0,292.0,2
57247.0,32.0,1
22944.0,19.0,3
25315.0,8.0,3
43638.0,83.0,1
42710.0,42.0,1
84169.0,403.0,2
54058.0,252.0,1
24683.0,10.0,3
85620.0,556.0,2
47850.0,43.0,1
19514.0,21.0,3
27159.0,3.0,3
39548.0,10.0,3
21474.0,24.0,3
60504.0,24.0,1
22419.0,47.0,3
81698.0,520.0,2
43462.0,97.0,1
54880.0,137.0,1
79908.0,556.0,2
15315.0,13.0,3
87771.0,287.0,2
33039.0,12.0,3
81741.0,556.0,2
71499.0,132.0,2
62466.0,259.0,1
48799.0,81.0,1
52157.0,29.0,1
66565.0,161.0,2
29298.0,2.0,3
47691.0,3.0,1
38200.0,4.0,3
44989.0,106.0,1
38443.0,5.0,3
38593.0,49.0,3
64413.0,44.0,2
36959.0,25.0,3
61996.0,144.0,1
51287.0,22.0,1
13260.0,17.0,3
47472.0,11.0,1
54603.0,46.0,1
45207.0,10.0,1
40689.0,27.0,1
47821.0,16.0,1
27450.0,23.0,3
39453.0,7.0,3
26850.0,13.0,3
79800.0,530.0,2
61794.0,188.0,1
53863.0,30.0,1
24221.0,9.0,3
39684.0,35.0,3
92163.0,556.0,2
69882.0,556.0,2
33178.0,2.0,3
59973.0,168.0,1
17459.0,16.0,3
23910.0,18.0,3
42169.0,9.0,1
26224.0,15.0,3
31089.0,31.0,3
30081.0,2.0,3
62807.0,135.0,1
72906.0,519.0,2
61467.0,114.0,1
49618.0,26.0,1
21888.0,46.0,3
42429.0,6.0,1
26150.0,13.0,3
30801.0,5.0,3
81168.0,556.0,2
26877.0,76.0,3
45006.0,53.0,1
18978.0,1.0,3
22574.0,8.0,3
48240.0,248.0,1
45837.0,87.0,1
35791.0,5.0,3
117416.25,16.0,2
54162.0,10.0,1
30522.0,83.0,3
54456.0,27.0,1
31632.0,12.0,3
72298.0,169.0,2
36975.0,11.0,3
72635.0,323.0,2
13624.0,15.0,3
84196.0,507.0,2
70971.0,556.0,2
34487.0,33.0,3
28769.0,129.0,3
69084.0,199.0,2
65488.0,207.0,2
62466.0,259.0,1
32218.0,15.0,3
83917.0,556.0,2
46102.0,1.0,1
84574.0,556.0,2
56181.0,69.0,1
63120.0,279.0,1
73691.0,250.0,2
63381.0,142.0,1
76140.0,556.0,2
62859.0,102.0,1
45906.0,27.0,1
77632.0,556.0,2
46463.0,40.0,1
105471.0,104.0,2
55282.0,73.0,1
78710.0,152.0,2
66886.0,62.0,2
98777.0,556.0,2
29103.0,17.0,3
67445.0,217.0,2
50616.0,25.0,1
49431.0,100.0,1
117416.25,1.0,2
61278.0,28.0,1
26490.0,52.0,3
73059.0,420.0,2
46734.0,39.0,1
56253.0,65.0,1
19986.0,5.0,3
58330.0,213.0,1
25965.0,11.0,3
14661.0,11.0,3
18690.0,7.0,3
45068.0,3.0,1
21063.0,11.0,3
29187.0,6.0,3
54690.0,37.0,1
59304.0,428.0,1
59247.0,122.0,1
66731.0,194.0,2
77353.0,107.0,2
52614.0,142.0,1
26751.0,5.0,3
81300.0,145.0,2
70337.0,149.0,2
36145.0,76.0,3
65295.0,117.0,2
68118.0,123.0,2
68743.0,384.0,2
41039.0,137.0,1
38946.0,82.0,3
65777.0,435.0,2
66476.0,126.0,2
86857.0,556.0,2
117416.25,556.0,2
77845.0,480.0,2
69476.0,556.0,2
50611.0,24.0,1
61209.0,224.0,1
42315.0,80.0,1
13084.0,7.0,3
47570.0,20.0,1
61923.0,18.0,1
34824.0,11.0,3
26518.0,28.0,3
45938.0,178.0,1
78468.0,388.0,2
78901.0,309.0,2
71427.0,177.0,2
71022.0,278.0,2
90247.0,352.0,2
41335.0,21.0,1
71952.0,455.0,2
35682.0,8.0,3
43185.0,42.0,1
66375.0,45.0,2
35178.0,13.0,3
25252.0,4.0,3
55250.0,83.0,1
33249.0,21.0,3
58398.0,201.0,1
50272.0,66.0,1
76618.0,294.0,2
87305.0,501.0,2
25851.0,18.0,3
58710.0,368.0,1
45160.0,5.0,1
74806.0,249.0,2
59111.0,134.0,1
18988.0,6.0,3
72190.0,556.0,2
7500.0,12.0,3
44794.0,7.0,1
80395.0,556.0,2
75012.0,218.0,2
56962.0,77.0,1
89891.0,132.0,2
35946.0,3.0,3
53593.0,78.0,1
66373.0,124.0,2
45072.0,99.0,1
89694.0,211.0,2
72025.0,556.0,2
67432.0,341.0,2
70545.0,63.0,2
17487.0,1.0,3
62882.0,497.0,1
64108.0,86.0,2
34941.0,25.0,3
48767.0,21.0,1
38702.0,24.0,3
82224.0,360.0,2
83844.0,345.0,2
17003.0,12.0,3
71163.0,372.0,2
33697.0,7.0,3
63564.0,252.0,1
83443.0,556.0,2
51518.0,66.0,1
58330.0,213.0,1
80952.0,556.0,2
75507.0,374.0,2
63855.0,314.0,1
62220.0,375.0,1
58512.0,101.0,1
40662.0,23.0,1
38829.0,7.0,3
35523.0,22.0,3
79146.0,223.0,2
78285.0,391.0,2
31626.0,9.0,3
75127.0,305.0,2
48726.0,38.0,1
74985.0,556.0,2
67430.0,291.0,2
46891.0,23.0,1
62058.0,74.0,1
72063.0,348.0,2
78939.0,243.0,2
42720.0,91.0,1
33622.0,22.0,3
6835.0,12.0,3
41452.0,3.0,1
40760.0,17.0,1
74250.0,392.0,2
51124.0,11.0,1
72258.0,522.0,2
71466.0,546.0,2
36283.0,5.0,3
20587.0,6.0,3
30467.0,8.0,3
31590.0,15.0,3
20425.0,5.0,3
17144.0,19.0,3
42564.0,186.0,1
43783.0,125.0,1
40780.0,71.0,1
62847.0,556.0,1
82017.0,446.0,2
16813.0,11.0,3
51267.0,64.0,1
46524.0,35.0,1
45183.0,60.0,1
70421.0,136.0,2
60161.0,212.0,1
73926.0,556.0,2
19329.0,16.0,3
61872.0,159.0,1
46984.0,10.0,1
34838.0,29.0,3
82716.0,228.0,2
48192.0,204.0,1
49681.0,26.0,1
56850.0,19.0,1
55267.0,136.0,1
59666.0,178.0,1
72504.0,470.0,2
26872.0,8.0,3
21359.0,17.0,3
73170.0,256.0,2
52750.0,239.0,1
91820.0,556.0,2
65968.0,83.0,2
30772.0,4.0,3
22507.0,226.0,3
65685.0,49.0,2
25804.0,9.0,3
76412.0,556.0,2
22063.0,13.0,3
57091.0,64.0,1
22419.0,47.0,3
87771.0,287.0,2
78353.0,476.0,2
93404.0,287.0,2
37859.0,8.0,3
80995.0,409.0,2
16529.0,5.0,3
55412.0,28.0,1
48789.0,156.0,1
56575.0,90.0,1
25130.0,7.0,3
35441.0,9.0,3
71391.0,274.0,2
49494.0,97.0,1
81702.0,556.0,2
45889.0,6.0,1
56628.0,82.0,1
34026.0,15.0,3
40049.0,52.0,1
34176.0,24.0,3
19419.0,28.0,3
82504.0,431.0,2
81205.0,556.0,2
61618.0,399.0,1
55284.0,140.0,1
49980.0,54.0,1
15072.0,15.0,3
49166.0,25.0,1
65324.0,102.0,2
82347.0,556.0,2
30843.0,2.0,3
46374.0,21.0,1
60474.0,303.0,1
38576.0,7.0,3
55357.0,116.0,1
37758.0,10.0,3
85710.0,350.0,2
23228.0,18.0,3
44602.0,89.0,1
7500.0,3.0,3
38683.0,69.0,3
49514.0,78.0,1
57906.0,119.0,1
43456.0,68.0,1
19485.0,4.0,3
53172.0,90.0,1
30545.0,15.0,3
70123.0,396.0,2
62450.0,267.0,1
21675.0,16.0,3
42395.0,57.0,1
61346.0,168.0,1
80812.0,500.0,2
42835.0,93.0,1
39922.0,59.0,1
86424.0,556.0,2
17117.0,38.0,3
24762.0,12.0,3
35797.0,14.0,3
36627.0,5.0,3
51111.0,19.0,1
86857.0,556.0,2
82072.0,556.0,2
46231.0,55.0,1
42243.0,2.0,1
51195.0,156.0,1
68092.0,207.0,2
31814.0,20.0,3
51390.0,47.0,1
76630.0,446.0,2
26868.0,1.0,3
48948.0,206.0,1
55260.0,53.0,1
64090.0,161.0,2
78331.0,354.0,2
37087.0,134.0,3
21846.0,18.0,3
81320.0,493.0,2
54137.0,11.0,1
66825.0,405.0,2
57100.0,69.0,1
58917.0,89.0,1
85072.0,391.0,2
86429.0,556.0,2
45684.0,5.0,1
47889.0,29.0,1
45921.0,49.0,1
78420.0,556.0,2
75114.0,523.0,2
52278.0,71.0,1
35641.0,67.0,3
95529.0,556.0,2
62820.0,265.0,1
73113.0,154.0,2
84169.0,403.0,2
42607.0,56.0,1
74637.0,464.0,2
46015.0,2.0,1
72354.0,473.0,2
39858.0,25.0,1
34469.0,20.0,3
83033.0,431.0,2
24401.0,217.0,3
77583.0,384.0,2
74116.0,556.0,2
74293.0,335.0,2
68397.0,466.0,2
79632.0,510.0,2
46107.0,27.0,1
64950.0,72.0,2
25443.0,3.0,3
75127.0,305.0,2
32892.0,15.0,3
71796.0,311.0,2
67536.0,447.0,2
55239.0,238.0,1
60554.0,76.0,1
64831.0,249.0,2
56067.0,54.0,1
82025.0,556.0,2
94384.0,556.0,2
14906.0,14.0,3
51563.0,48.0,1
57937.0,144.0,1
68274.0,51.0,2
39771.0,18.0,3
67893.0,142.0,2
27922.0,13.0,3
52190.0,17.0,1
44051.0,58.0,1
42767.0,43.0,1
46106.0,8.0,1
16927.0,23.0,3
59754.0,44.0,1
53700.0,233.0,1
59041.0,15.0,1
54237.0,30.0,1
70647.0,171.0,2
52597.0,37.0,1
41021.0,9.0,1
40233.0,46.0,1
50183.0,84.0,1
54753.0,227.0,1
92955.0,556.0,2
33471.0,27.0,3
34596.0,2.0,3
44010.0,234.0,1
84219.0,400.0,2
40706.0,11.0,1
15716.0,30.0,3
59052.0,75.0,1
80573.0,430.0,2
83715.0,407.0,2
82576.0,445.0,2
56962.0,77.0,1
35704.0,12.0,3
53103.0,133.0,1
46779.0,3.0,1
4861.0,1.0,3
33462.0,18.0,3
63693.0,337.0,1
80763.0,108.0,2
65352.0,84.0,2
82170.0,556.0,2
75759.0,556.0,2
79689.0,556.0,2
35340.0,12.0,3
85683.0,311.0,2
24884.0,7.0,3
42021.0,136.0,1
64449.0,282.0,2
64587.0,16.0,2
34824.0,11.0,3
75437.0,545.0,2
26091.0,19.0,3
52845.0,292.0,1
46086.0,32.0,1
78028.0,288.0,2
95169.0,449.0,2
56337.0,144.0,1
22434.0,11.0,3
36930.0,31.0,3
36130.0,127.0,3
65569.0,288.0,2
83844.0,345.0,2
19514.0,21.0,3
36736.0,3.0,3
77568.0,396.0,2
49187.0,31.0,1
30168.0,66.0,3
34053.0,21.0,3
38196.0,11.0,3
59412.0,165.0,1
70924.0,254.0,2
54165.0,73.0,1
32300.0,6.0,3
20180.0,24.0,3
34961.0,26.0,3
28440.0,24.0,3
64504.0,168.0,2
33564.0,3.0,3
17345.0,16.0,3
56320.0,172.0,1
28647.0,29.0,3
15038.0,11.0,3
32173.0,2.0,3
68316.0,161.0,2
74538.0,556.0,2
91700.0,556.0,2
68695.0,356.0,2
31056.0,13.0,3
79593.0,556.0,2
28071.0,130.0,3
37334.0,16.0,3
46423.0,16.0,1
37126.0,9.0,3
47703.0,134.0,1
61180.0,29.0,1
38998.0,14.0,3
8028.0,66.0,3
76081.0,415.0,2
34728.0,16.0,3
33168.0,37.0,3
33585.0,33.0,3
77037.0,333.0,2
35196.0,141.0,3
44529.0,91.0,1
70924.0,254.0,2
28764.0,3.0,3
69098.0,556.0,2
25959.0,12.0,3
27100.0,13.0,3
70596.0,534.0,2
42557.0,53.0,1
53312.0,12.0,1
72228.0,491.0,2
67605.0,282.0,2
62845.0,45.0,1
65196.0,181.0,2
42000.0,267.0,1
35860.0,8.0,3
65526.0,69.0,2
16860.0,4.0,3
83528.0,556.0,2
64176.0,249.0,2
22304.0,7.0,3
67023.0,382.0,2
32892.0,15.0,3
70713.0,279.0,2
59925.0,176.0,1
39722.0,5.0,3
46610.0,30.0,1
88347.0,555.0,2
87171.0,107.0,2
26907.0,7.0,3
50014.0,77.0,1
41014.0,6.0,1
66294.0,334.0,2
36715.0,125.0,3
79456.0,548.0,2
40479.0,8.0,1
75345.0,556.0,2
54233.0,158.0,1
24163.0,7.0,3
84460.0,103.0,2
43776.0,9.0,1
71691.0,411.0,2
85844.0,556.0,2
39190.0,18.0,3
71367.0,389.0,2
38578.0,22.0,3
57236.0,9.0,1
61825.0,100.0,1
79803.0,216.0,2
80910.0,369.0,2
27590.0,5.0,3
56775.0,160.0,1
83829.0,430.0,2
54210.0,109.0,1
38508.0,206.0,3
53187.0,30.0,1
30023.0,16.0,3
76045.0,400.0,2
50870.0,8.0,1
15315.0,13.0,3
65463.0,70.0,2
66480.0,57.0,2
76773.0,449.0,2
81698.0,115.0,2
54466.0,4.0,1
98777.0,556.0,2
16269.0,18.0,3
71819.0,140.0,2
33569.0,18.0,3
